Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::mul,"67108864;
;
67108864",,3.028,6.126,0,426.417,0,0
aten::item,,,0.225,0.458,0,0,0,0
aten::_local_scalar_dense,,,0.233,0.233,0,0,0,0
aclnnMuls,,,2.64,2.64,426.417,426.417,0,0
P16/03-serial/mm-02,,,18.088,24.737,0,448.058,0,448.058
aten::mm,"4096,4096;
4096,4096;
4096,4096",,4.394,6.649,0,448.058,0,448.058
aclnnMm,,,2.255,2.255,448.058,448.058,448.058,448.058
P16/03-serial/mul-02,,,13.599,19.485,0,425.457,0,0
aten::mul,"67108864;
;
67108864",,2.852,5.886,0,425.457,0,0
aten::item,,,0.232,0.389,0,0,0,0
aten::_local_scalar_dense,,,0.157,0.157,0,0,0,0
aclnnMuls,,,2.645,2.645,425.457,425.457,0,0
P16/03-serial/mm-03,,,14.456,22.931,0,452.138,0,452.138
aten::mm,"4096,4096;
4096,4096;
4096,4096",,5.809,8.475,0,452.138,0,452.138
aclnnMm,,,2.666,2.666,452.138,452.138,452.138,452.138
P16/03-serial/mul-03,,,13.924,24.033,0,427.077,0,0
aten::mul,"67108864;
;
67108864",,3.119,10.109,0,427.077,0,0
aten::item,,,0.23,0.4,0,0,0,0
aten::_local_scalar_dense,,,0.17,0.17,0,0,0,0
aclnnMuls,,,6.59,6.59,427.077,427.077,0,0
P16/03-serial/mm-04,,,15.134,23.38,0,449.478,0,449.478
aten::mm,"4096,4096;
4096,4096;
4096,4096",,5.72,8.246,0,449.478,0,449.478
aclnnMm,,,2.526,2.526,449.478,449.478,449.478,449.478
P16/03-serial/mul-04,,,12.886,19.192,0,425.957,0,0
aten::mul,"67108864;
;
67108864",,3.107,6.306,0,425.957,0,0
aten::item,,,0.366,0.716,0,0,0,0
aten::_local_scalar_dense,,,0.35,0.35,0,0,0,0
aclnnMuls,,,2.483,2.483,425.957,425.957,0,0
P16/03-serial/mm-05,,,13.073,19.711,0,451.358,0,451.358
aten::mm,"4096,4096;
4096,4096;
4096,4096",,4.34,6.638,0,451.358,0,451.358
aclnnMm,,,2.298,2.298,451.358,451.358,451.358,451.358
P16/03-serial/mul-05,,,13.122,18.852,0,426.597,0,0
aten::mul,"67108864;
;
67108864",,2.683,5.73,0,426.597,0,0
aten::item,,,0.28,0.511,0,0,0,0
aten::_local_scalar_dense,,,0.231,0.231,0,0,0,0
aclnnMuls,,,2.536,2.536,426.597,426.597,0,0
P16/03-serial/record-A,,,16.42,41.965,0,0.02,0,0
Event::record,,,23.07,25.545,0,0.02,0,0
record_event,,,2.475,2.475,0.02,0.02,0,0
P16/03-serial/wait-A,,,19.676,4710.591,0,0,0,0
Event::synchronize,,,4690.915,4690.915,0,0,0,0
destroy_event,,,2.555,2.555,0,0,0,0
P16/check/03-serial,,,22.016,598.37,0,480.98,0,0
aten::eq,"4096,4096;
",,4.807,10.338,0,56.242,0,0
empty_tensor,,,2.357,2.357,0,0,0,0
aclnnEqScalar,,,3.174,3.174,56.242,56.242,0,0
aten::all,"4096,4096",,3.738,11.482,0,30.182,0,0
empty_tensor,,,1.346,1.346,0,0,0,0
aclnnAll,,,6.398,6.398,30.182,30.182,0,0
aten::item,,,0.587,117.459,0,0,0,0
aten::_local_scalar_dense,,,116.872,116.872,0,0,0,0
aten::eq,"67108864;
",,2.524,6.34,0,336.774,0,0
empty_tensor,,,1.528,1.528,0,0,0,0
aclnnEqScalar,,,2.288,2.288,336.774,336.774,0,0
aten::all,67108864,,2.554,4.668,0,57.782,0,0
empty_tensor,,,1.298,1.298,0,0,0,0
aclnnAll,,,0.816,0.816,57.782,57.782,0,0
aten::item,,,0.818,426.067,0,0,0,0
aten::_local_scalar_dense,,,425.249,425.249,0,0,0,0
P16/03-parallel/mm-00,,,15.146,23.959,0,1601.645,0,1601.645
aten::mm,"4096,4096;
4096,4096;
4096,4096",,6.162,8.813,0,1601.645,0,1601.645
aclnnMm,,,2.651,2.651,1601.645,1601.645,1601.645,1601.645
P16/03-parallel/mul-00,,,15.391,22.176,0,501.68,0,0
aten::mul,"67108864;
;
67108864",,3.75,6.785,0,501.68,0,0
aten::item,,,0.275,0.485,0,0,0,0
aten::_local_scalar_dense,,,0.21,0.21,0,0,0,0
aclnnMuls,,,2.55,2.55,501.68,501.68,0,0
P16/03-parallel/mm-01,,,17.564,24.352,0,1640.405,0,1640.405
aten::mm,"4096,4096;
4096,4096;
4096,4096",,4.391,6.788,0,1640.405,0,1640.405
aclnnMm,,,2.397,2.397,1640.405,1640.405,1640.405,1640.405
P16/03-parallel/mul-01,,,13.418,19.143,0,561.583,0,0
aten::mul,"67108864;
;
67108864",,2.879,5.725,0,561.583,0,0
aten::item,,,0.242,0.439,0,0,0,0
aten::_local_scalar_dense,,,0.197,0.197,0,0,0,0
aclnnMuls,,,2.407,2.407,561.583,561.583,0,0
P16/03-parallel/mm-02,,,15.152,25.422,0,476.419,0,476.419
aten::mm,"4096,4096;
4096,4096;
4096,4096",,4.434,10.27,0,476.419,0,476.419
aclnnMm,,,5.836,5.836,476.419,476.419,476.419,476.419
P16/03-parallel/mul-02,,,14.53,20.245,0,556.622,0,0
aten::mul,"67108864;
;
67108864",,2.99,5.715,0,556.622,0,0
aten::item,,,0.222,0.388,0,0,0,0
aten::_local_scalar_dense,,,0.166,0.166,0,0,0,0
aclnnMuls,,,2.337,2.337,556.622,556.622,0,0
P16/03-parallel/mm-03,,,13.534,20.094,0,428.377,0,428.377
aten::mm,"4096,4096;
4096,4096;
4096,4096",,4.047,6.56,0,428.377,0,428.377
aclnnMm,,,2.513,2.513,428.377,428.377,428.377,428.377
P16/03-parallel/mul-03,,,15.178,21.118,0,552.502,0,0
aten::mul,"67108864;
;
67108864",,2.809,5.94,0,552.502,0,0
aten::item,,,0.53,0.808,0,0,0,0
aten::_local_scalar_dense,,,0.278,0.278,0,0,0,0
aclnnMuls,,,2.323,2.323,552.502,552.502,0,0
P16/03-parallel/mm-04,,,13.094,19.726,0,429.077,0,429.077
aten::mm,"4096,4096;
4096,4096;
4096,4096",,4.327,6.632,0,429.077,0,429.077
aclnnMm,,,2.305,2.305,429.077,429.077,429.077,429.077
P16/03-parallel/mul-04,,,12.706,18.459,0,560.463,0,0
aten::mul,"67108864;
;
67108864",,2.672,5.753,0,560.463,0,0
aten::item,,,0.24,0.493,0,0,0,0
aten::_local_scalar_dense,,,0.253,0.253,0,0,0,0
aclnnMuls,,,2.588,2.588,560.463,560.463,0,0
