Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
P16Sync/trace-per_round/r3/record-mm,,,25.189,38.888,0,0.02,0,0
Event::record,,,11.15,13.699,0,0.02,0,0
record_event,,,2.549,2.549,0.02,0.02,0,0
P16Sync/trace-per_round/r3/copy-mul,,,19.992,33.895,0,2.24,0,0
aten::view,"67108864;
",,1.82,1.82,0,0,0,0
aten::slice,"67108864;
;
;
;
",,3.41,4.247,0,0,0,0
aten::as_strided,"67108864;
;
;
",,0.837,0.837,0,0,0,0
aten::copy_,"4;
4;
",,5.532,7.836,0,2.24,0,0
acl_memcpy_device_to_host,,,2.304,2.304,2.24,2.24,0,0
P16Sync/trace-per_round/r3/record-mul,,,13.55,38.588,0,0.02,0,0
Event::record,,,22.183,25.038,0,0.02,0,0
record_event,,,2.855,2.855,0.02,0.02,0,0
P16Sync/trace-per_round/r3/host_wait-mm,,,14.594,4415.131,0,0,0,0
Event::synchronize,,,4400.537,4400.537,0,0,0,0
P16Sync/trace-per_round/r3/host_wait-mul,,,24.051,32.777,0,0,0,0
Event::synchronize,,,8.726,8.726,0,0,0,0
aten::resolve_conj,4,,1.197,1.197,0,0,0,0
aten::resolve_neg,4,,0.667,0.667,0,0,0,0
aten::resolve_conj,4,,0.253,0.253,0,0,0,0
aten::resolve_neg,4,,0.237,0.237,0,0,0,0
aten::eq,"4096,4096;
",,8.888,23.059,0,55.462,0,0
empty_tensor,,,7.457,7.457,0,0,0,0
aclnnEqScalar,,,6.714,6.714,55.462,55.462,0,0
aten::all,"4096,4096",,11.047,14.89,0,31.562,0,0
empty_tensor,,,2.2,2.2,0,0,0,0
aclnnAll,,,1.643,1.643,31.562,31.562,0,0
aten::item,,,1.055,119.916,0,0,0,0
aten::_local_scalar_dense,,,118.861,118.861,0,0,0,0
aten::eq,"67108864;
",,2.605,6.382,0,342.754,0,0
empty_tensor,,,1.691,1.691,0,0,0,0
aclnnEqScalar,,,2.086,2.086,342.754,342.754,0,0
aten::all,67108864,,2.769,4.589,0,57.142,0,0
empty_tensor,,,1.1,1.1,0,0,0,0
aclnnAll,,,0.72,0.72,57.142,57.142,0,0
aten::item,,,0.78,431.42,0,0,0,0
aten::_local_scalar_dense,,,430.64,430.64,0,0,0,0
aten::resolve_conj,4,,0.313,0.313,0,0,0,0
aten::resolve_neg,4,,0.391,0.391,0,0,0,0
aten::resolve_conj,4,,0.133,0.133,0,0,0,0
aten::resolve_neg,4,,0.756,0.756,0,0,0,0
aten::eq,"4096,4096;
",,2.393,6.54,0,38.962,0,0
empty_tensor,,,1.564,1.564,0,0,0,0
aclnnEqScalar,,,2.583,2.583,38.962,38.962,0,0
aten::all,"4096,4096",,2.377,5.318,0,15.621,0,0
empty_tensor,,,0.834,0.834,0,0,0,0
aclnnAll,,,2.107,2.107,15.621,15.621,0,0
aten::item,,,0.663,82.946,0,0,0,0
aten::_local_scalar_dense,,,82.283,82.283,0,0,0,0
aten::eq,"67108864;
",,2.063,5.59,0,298.032,0,0
empty_tensor,,,1.113,1.113,0,0,0,0
aclnnEqScalar,,,2.414,2.414,298.032,298.032,0,0
aten::all,67108864,,2.456,5.576,0,56.502,0,0
empty_tensor,,,0.809,0.809,0,0,0,0
aclnnAll,,,2.311,2.311,56.502,56.502,0,0
aten::item,,,0.636,380.336,0,0,0,0
aten::_local_scalar_dense,,,379.7,379.7,0,0,0,0
aten::resolve_conj,4,,0.188,0.188,0,0,0,0
aten::resolve_neg,4,,0.14,0.14,0,0,0,0
aten::resolve_conj,4,,0.741,0.741,0,0,0,0
aten::resolve_neg,4,,0.784,0.784,0,0,0,0
aten::eq,"4096,4096;
",,2.059,5.574,0,40.022,0,0
empty_tensor,,,1.145,1.145,0,0,0,0
aclnnEqScalar,,,2.37,2.37,40.022,40.022,0,0
aten::all,"4096,4096",,2.395,4.096,0,15.681,0,0
empty_tensor,,,0.76,0.76,0,0,0,0
aclnnAll,,,0.941,0.941,15.681,15.681,0,0
aten::item,,,0.64,84.206,0,0,0,0
aten::_local_scalar_dense,,,83.566,83.566,0,0,0,0
aten::eq,"67108864;
",,1.931,5.199,0,300.252,0,0
empty_tensor,,,0.901,0.901,0,0,0,0
aclnnEqScalar,,,2.367,2.367,300.252,300.252,0,0
aten::all,67108864,,2.354,4.244,0,56.243,0,0
empty_tensor,,,0.98,0.98,0,0,0,0
aclnnAll,,,0.91,0.91,56.243,56.243,0,0
aten::item,,,0.694,386.043,0,0,0,0
aten::_local_scalar_dense,,,385.349,385.349,0,0,0,0
aten::resolve_conj,4,,0.202,0.202,0,0,0,0
aten::resolve_neg,4,,0.108,0.108,0,0,0,0
aten::resolve_conj,4,,0.216,0.216,0,0,0,0
aten::resolve_neg,4,,0.404,0.404,0,0,0,0
aten::eq,"4096,4096;
",,2.169,5.912,0,40.102,0,0
empty_tensor,,,0.994,0.994,0,0,0,0
aclnnEqScalar,,,2.749,2.749,40.102,40.102,0,0
aten::all,"4096,4096",,2.349,5.498,0,15.681,0,0
empty_tensor,,,0.883,0.883,0,0,0,0
aclnnAll,,,2.266,2.266,15.681,15.681,0,0
aten::item,,,0.647,83.8,0,0,0,0
aten::_local_scalar_dense,,,83.153,83.153,0,0,0,0
aten::eq,"67108864;
",,1.942,5.242,0,291.572,0,0
empty_tensor,,,0.952,0.952,0,0,0,0
aclnnEqScalar,,,2.348,2.348,291.572,291.572,0,0
aten::all,67108864,,3.273,9.394,0,57.862,0,0
empty_tensor,,,0.726,0.726,0,0,0,0
aclnnAll,,,5.395,5.395,57.862,57.862,0,0
aten::item,,,0.671,371.526,0,0,0,0
aten::_local_scalar_dense,,,370.855,370.855,0,0,0,0
aten::fill_,"4;
",,13.17,13.17,0,0,0,0
aten::fill_,"4;
",,1.92,1.92,0,0,0,0
aten::fill_,"4;
",,0.91,0.91,0,0,0,0
aten::fill_,"4;
",,4.042,4.042,0,0,0,0
aten::fill_,"4;
",,0.785,0.785,0,0,0,0
aten::fill_,"4;
",,0.747,0.747,0,0,0,0
aten::fill_,"4;
",,0.772,0.772,0,0,0,0
aten::fill_,"4;
",,1.762,1.762,0,0,0,0
P16Sync/trace-final_only/r0/compute-mm-00,,,27.783,37.064,0,1583.323,0,1583.323
aten::mm,"4096,4096;
4096,4096;
4096,4096",,7.036,9.281,0,1583.323,0,1583.323
aclnnMm,,,2.245,2.245,1583.323,1583.323,1583.323,1583.323
P16Sync/trace-final_only/r0/compute-mul-00,,,16.097,23.87,0,504.94,0,0
aten::mul,"67108864;
;
67108864",,4.381,7.773,0,504.94,0,0
aten::item,,,0.782,1.219,0,0,0,0
aten::_local_scalar_dense,,,0.437,0.437,0,0,0,0
aclnnMuls,,,2.173,2.173,504.94,504.94,0,0
P16Sync/trace-final_only/r0/compute-mm-01,,,12.255,18.633,0,1576.063,0,1576.063
aten::mm,"4096,4096;
4096,4096;
4096,4096",,4.212,6.378,0,1576.063,0,1576.063
aclnnMm,,,2.166,2.166,1576.063,1576.063,1576.063,1576.063
P16Sync/trace-final_only/r0/compute-mul-01,,,12.42,17.896,0,565.303,0,0
aten::mul,"67108864;
;
67108864",,2.601,5.476,0,565.303,0,0
aten::item,,,0.275,0.588,0,0,0,0
aten::_local_scalar_dense,,,0.313,0.313,0,0,0,0
aclnnMuls,,,2.287,2.287,565.303,565.303,0,0
P16Sync/trace-final_only/r0/compute-mm-02,,,12.448,18.533,0,1704.328,0,1704.328
aten::mm,"4096,4096;
4096,4096;
4096,4096",,4.23,6.085,0,1704.328,0,1704.328
aclnnMm,,,1.855,1.855,1704.328,1704.328,1704.328,1704.328
P16Sync/trace-final_only/r0/compute-mul-02,,,12.054,16.871,0,554.982,0,0
aten::mul,"67108864;
;
67108864",,2.491,4.817,0,554.982,0,0
