trace_index,kernel,task_type,task_id,stream_id,device_start_us,device_duration_us,phase,host_operator,host_ancestry,host_start_us,host_duration_us,torch_flow_id,cann_flow_id,cann_launch,cann_connection_verified,kernel_csv_verified,route
9134,aclnnContiguous_SliceAiCore_Slice,AI_VECTOR_CORE,1356,46,1790085076512956.414,2.6,step=3,aclnnFusedInferAttentionScoreV3,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::unified_attention_with_output"", ""npu::npu_fused_infer_attention_score"", ""aclnnFusedInferAttentionScoreV3""]",1790085076512927.665,3.531,1790085076512956414,7524782702592,Node@launch,True,True,torch_npu
9136,FusedInferAttentionScore,MIX_AIC,1357,46,1790085076512974.694,28.7415,step=3,aclnnFusedInferAttentionScoreV3,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::unified_attention_with_output"", ""npu::npu_fused_infer_attention_score"", ""aclnnFusedInferAttentionScoreV3""]",1790085076512927.665,3.531,1790085076512974694,7546257539072,Node@launch,True,True,torch_npu
10469,MEMCPY_ASYNC,SDMA_SQE,1358,46,1790085076513004.356,1.0,step=3,aclnnInplaceCopy,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::unified_attention_with_output"", ""aten::copy_"", ""aclnnInplaceCopy""]",1790085076512953.079,1.061,1790085076513004356,7572027342848,AscendCL@aclnnInplaceCopy,True,False,runtime_copy
9138,aclnnMatmul_MatMulCommon_MatMulV2,AI_CORE,1359,46,1790085076513049.597,8.0205,step=3,aclnnMatmul,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::unquantized_gemm"", ""aten::linear"", ""aten::matmul"", ""aclnnMatmul""]",1790085076513032.671,2.474,1790085076513049597,7602092113920,Node@launch,True,True,aten_to_aclnn
9140,AddRmsNormBias,AI_VECTOR_CORE,1360,46,1790085076513103.140,15.8605,step=3,aclnnAddRmsNormBias,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""_C_ascend::npu_add_rms_norm_bias"", ""aclnnAddRmsNormBias""]",1790085076513090.367,2.633,1790085076513103140,7627861917696,Node@launch,True,True,ascend_custom_cpp
9142,aclnnMatmul_MatMulCommon_MatMulV2,AI_CORE,1361,46,1790085076513152.602,23.1805,step=3,aclnnMatmul,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::unquantized_gemm"", ""aten::linear"", ""aten::matmul"", ""aclnnMatmul""]",1790085076513140.527,2.193,1790085076513152602,7649336754176,Node@launch,True,True,aten_to_aclnn
9144,SwiGlu,AI_VECTOR_CORE,1362,46,1790085076513196.443,14.9805,step=3,aclnnSwiGlu,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""npu::npu_swiglu"", ""aclnnSwiGlu""]",1790085076513170.894,7.628,1790085076513196443,7675106557952,Node@launch,True,True,torch_npu
9146,aclnnMatmul_MatMulCommon_MatMulV2,AI_CORE,1363,46,1790085076513224.744,21.741,step=3,aclnnMatmul,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::unquantized_gemm"", ""aten::linear"", ""aten::matmul"", ""aclnnMatmul""]",1790085076513210.421,2.2,1790085076513224744,7696581394432,Node@launch,True,True,aten_to_aclnn
9148,AddRmsNormBias,AI_VECTOR_CORE,1364,46,1790085076513285.047,13.2605,step=3,aclnnAddRmsNormBias,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""_C_ascend::npu_add_rms_norm_bias"", ""aclnnAddRmsNormBias""]",1790085076513263.843,2.953,1790085076513285047,7722351198208,Node@launch,True,True,ascend_custom_cpp
9150,aclnnAddmm_CastAiCore_Cast,AI_VECTOR_CORE,1365,46,1790085076513322.608,1.14,step=3,aclnnAddmm,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::unquantized_gemm"", ""aten::linear"", ""aten::addmm"", ""aclnnAddmm""]",1790085076513305.320,2.354,1790085076513322608,7743826034688,Node@launch,True,True,aten_to_aclnn
