Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::view,,,1.431,1.431,0,0,0,0
aten::view,,,0.772,0.772,0,0,0,0
aten::empty,,,0.802,3.017,0,0,0,0
empty_tensor,,,2.215,2.215,0,0,0,0
aten::view,,,1.012,1.012,0,0,0,0
aten::view,,,2.794,2.794,0,0,0,0
aten::view,,,0.999,0.999,0,0,0,0
aten::view,,,1.137,1.137,0,0,0,0
vllm::unified_attention_with_output,,,168.547,1462.334,0,45.1215,0,0
P12/A/0018/attention,,,578.349,1293.787,0,45.1215,0,0
aten::slice,,,2.456,4.357,0,0,0,0
aten::as_strided,,,1.901,1.901,0,0,0,0
aten::slice,,,0.744,1.47,0,0,0,0
aten::as_strided,,,0.726,0.726,0,0,0,0
aten::slice,,,3.432,4.334,0,0,0,0
aten::as_strided,,,0.902,0.902,0,0,0,0
P12/A/0019/cache_write,,,161.745,212.777,0,11.72,0,0
atb::_npu_reshape_and_cache,,,27.615,51.032,0,11.72,0,0
aten::contiguous,,,1.545,20.422,0,2.84,0,0
aten::clone,,,2.04,18.877,0,2.84,0,0
empty_tensor,,,4.71,4.71,0,0,0,0
aten::copy_,,,7.729,12.127,0,2.84,0,0
aclnnInplaceCopy,,,4.398,4.398,2.84,2.84,0,0
ReshapeCacheOperation,,,2.995,2.995,8.88,8.88,0,0
